Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,3298.0,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21.0,1,Male,80,4,1,Research Scientist,2,Divorced,15053.0,0,Yes,12.0,3.0,4,2,7,5,2,6,2,0,5
22,2935.0,No,Non-Travel,1123,Research & Development,16,2,Medical,22.0,4,Male,96,4,1,Laboratory Technician,4,,7324.0,1,Yes,13.0,3.0,2,2,1,2,2,1,0,0,0
53,15427.0,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23.0,1,Female,78,2,4,Manager,4,Married,22021.0,2,No,16.0,3.0,3,0,31,3,3,25,8,3,7
38,3944.0,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24.0,4,Male,45,3,1,Research Scientist,4,Single,4306.0,5,Yes,11.0,3.0,3,0,6,3,3,3,2,1,2
24,4011.0,No,Non-Travel,673,Research & Development,11,2,Other,26.0,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232.0,0,No,18.0,3.0,4,1,5,5,2,4,2,1,3
36,3407.0,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27.0,3,Male,82,2,1,Sales Representative,1,Single,6986.0,7,No,23.0,4.0,2,0,10,4,3,5,3,0,3
34,11994.0,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28.0,1,Female,53,3,3,Research Director,2,Single,21293.0,0,No,11.0,3.0,3,0,13,4,3,12,6,2,11
21,1232.0,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30.0,3,Male,96,3,1,Research Scientist,4,Single,,1,No,14.0,3.0,4,0,0,6,3,0,0,0,0
34,2960.0,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31.0,2,Male,83,3,1,Research Scientist,1,Single,17102.0,2,No,11.0,3.0,3,0,8,2,3,4,2,1,3
53,19094.0,No,Travel_Rarely,1282,Research & Development,5,3,Other,32.0,3,Female,58,3,5,Manager,3,Divorced,10735.0,4,No,11.0,3.0,4,1,26,3,2,14,13,4,8
32,3919.0,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33.0,2,Female,72,1,1,Research Scientist,1,Single,4681.0,1,Yes,22.0,4.0,2,0,10,5,3,10,2,6,7
42,6825.0,No,Travel_Rarely,691,Sales,8,4,Marketing,35.0,3,Male,48,3,2,Sales Executive,2,Married,21173.0,0,No,11.0,3.0,4,1,10,2,3,9,7,4,2
44,10248.0,No,Travel_Rarely,477,Research & Development,7,4,Medical,36.0,1,Female,42,2,3,Healthcare Representative,4,Married,2094.0,3,No,14.0,3.0,4,1,24,4,3,22,6,5,17
46,18947.0,No,Travel_Rarely,705,Sales,2,4,Marketing,38.0,2,Female,83,3,5,Manager,1,Single,22822.0,3,No,12.0,3.0,4,0,22,2,2,2,2,2,1
33,2496.0,No,Travel_Rarely,924,Research & Development,2,3,Medical,39.0,3,Male,78,3,1,Laboratory Technician,4,Single,6670.0,4,No,11.0,3.0,4,0,7,3,3,1,1,0,0
44,6465.0,No,Travel_Rarely,1459,Research & Development,10,4,Other,40.0,4,Male,41,3,2,Healthcare Representative,4,Married,19121.0,2,Yes,13.0,3.0,4,0,9,5,4,4,2,1,3
30,2206.0,No,Travel_Rarely,125,Research & Development,9,2,Medical,41.0,4,Male,83,2,1,Laboratory Technician,3,Single,16117.0,1,No,13.0,3.0,1,0,10,5,3,10,0,1,8
39,2086.0,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42.0,4,Male,56,3,2,Sales Representative,4,Married,3335.0,3,No,14.0,3.0,3,1,19,6,4,1,0,0,0
24,2293.0,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,45.0,2,Male,61,3,1,Research Scientist,4,Married,3020.0,2,Yes,16.0,3.0,1,1,6,2,2,2,0,2,0
43,2645.0,No,Travel_Rarely,1273,Research & Development,2,2,Medical,46.0,4,Female,72,4,1,Research Scientist,3,Divorced,21923.0,1,No,12.0,3.0,4,2,6,3,2,5,3,1,4
50,2683.0,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47.0,1,Male,86,2,1,Sales Representative,3,Married,3810.0,1,Yes,14.0,3.0,3,0,3,2,3,3,2,0,2
35,2014.0,No,Travel_Rarely,890,Sales,2,3,Marketing,49.0,4,Female,97,3,1,Sales Representative,4,Married,9687.0,1,No,13.0,3.0,1,0,2,3,3,2,2,2,2
36,3419.0,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51.0,2,Female,82,2,1,Research Scientist,1,Married,13072.0,9,Yes,14.0,3.0,4,1,6,3,4,1,1,0,0
33,5376.0,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52.0,3,Female,42,4,2,Sales Executive,1,Married,3193.0,2,No,19.0,3.0,1,2,10,3,3,5,3,1,3
35,1951.0,No,Travel_Rarely,464,Research & Development,4,2,Other,53.0,3,Male,75,3,1,Laboratory Technician,4,Divorced,10910.0,1,No,12.0,3.0,3,1,1,3,3,1,0,0,0
27,2341.0,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54.0,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715.0,1,No,13.0,3.0,4,1,1,6,3,1,0,0,0
26,2293.0,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55.0,1,Male,48,1,1,Laboratory Technician,3,Single,10558.0,1,No,12.0,3.0,3,0,1,2,2,1,0,0,1
27,8726.0,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56.0,4,Male,37,3,3,Sales Executive,3,Single,2975.0,1,No,15.0,3.0,4,0,9,0,3,9,8,1,7
30,4011.0,No,Travel_Frequently,721,Research & Development,1,2,Medical,57.0,3,Female,58,3,2,Laboratory Technician,4,Single,10781.0,1,No,23.0,4.0,4,0,12,2,3,12,8,3,7
41,19545.0,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58.0,2,Female,49,3,5,Research Director,3,Married,16280.0,1,No,12.0,3.0,4,0,23,0,3,22,15,15,8
34,4568.0,No,Non-Travel,1065,Sales,23,4,Marketing,60.0,2,Male,72,3,2,Sales Executive,3,Single,10034.0,0,No,20.0,4.0,3,0,10,2,3,9,5,8,7
37,3022.0,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61.0,2,Male,73,3,1,Research Scientist,2,Married,10227.0,4,No,21.0,4.0,1,0,8,1,3,1,0,0,0
46,5772.0,No,Travel_Frequently,1211,Sales,5,4,Marketing,62.0,1,Male,98,3,2,Sales Executive,4,Single,20445.0,4,Yes,21.0,4.0,3,0,14,4,3,9,6,0,8
35,2269.0,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63.0,4,Male,36,4,1,Laboratory Technician,4,Married,4892.0,1,No,19.0,3.0,4,0,1,2,3,1,0,0,1
48,5381.0,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64.0,1,Male,98,2,3,Laboratory Technician,3,Single,19294.0,9,Yes,13.0,3.0,4,0,23,2,3,1,0,0,0
28,3441.0,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65.0,3,Male,50,3,1,Laboratory Technician,3,Single,11179.0,1,Yes,13.0,3.0,3,0,2,3,2,2,2,2,2
44,5454.0,No,Travel_Rarely,1488,Sales,1,5,Marketing,68.0,2,Female,75,3,2,Sales Executive,1,Divorced,4009.0,5,Yes,21.0,4.0,3,1,9,2,2,4,3,1,3
35,9884.0,No,Non-Travel,1097,Research & Development,11,2,Medical,70.0,3,Male,79,2,3,Healthcare Representative,1,Married,8302.0,2,Yes,13.0,3.0,3,1,10,3,3,4,0,2,3
26,4157.0,No,Travel_Rarely,1443,Sales,23,3,Marketing,72.0,3,Female,47,2,2,Sales Executive,4,Married,21436.0,7,Yes,19.0,3.0,3,1,5,2,2,2,2,0,0
33,13458.0,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73.0,1,Female,98,3,3,Research Director,4,Single,15146.0,1,Yes,12.0,3.0,3,0,15,1,3,15,14,8,12
35,9069.0,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74.0,2,Male,71,3,3,Sales Executive,1,Married,11031.0,1,No,22.0,4.0,4,1,9,3,2,9,8,1,8
35,4014.0,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75.0,3,Female,30,3,1,Laboratory Technician,1,Married,16002.0,3,Yes,15.0,3.0,3,1,4,3,3,2,2,2,2
31,5915.0,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76.0,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528.0,3,No,22.0,4.0,4,1,10,3,2,7,7,1,7
37,5993.0,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77.0,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689.0,1,No,18.0,3.0,3,1,7,2,4,7,5,0,7
32,6162.0,No,Travel_Rarely,427,Research & Development,1,3,Medical,78.0,1,Male,33,3,2,Manufacturing Director,4,Married,10877.0,1,Yes,22.0,4.0,2,1,9,3,3,9,8,7,8
38,2406.0,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79.0,4,Female,50,3,2,Laboratory Technician,4,Single,5456.0,1,No,11.0,3.0,4,0,10,2,3,10,3,9,9
50,18740.0,No,Travel_Rarely,989,Research & Development,7,2,Medical,80.0,2,Female,43,2,5,Research Director,3,Divorced,16701.0,5,Yes,12.0,3.0,4,1,29,2,2,27,3,13,8
59,7637.0,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81.0,1,Female,99,3,3,Sales Executive,1,Single,2354.0,7,No,11.0,3.0,4,0,28,3,2,21,16,7,9
36,10096.0,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83.0,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202.0,1,No,13.0,3.0,2,3,17,2,3,17,14,12,8
55,14756.0,No,Travel_Rarely,836,Research & Development,8,3,Medical,84.0,4,Female,33,3,4,Manager,3,Divorced,19730.0,2,Yes,14.0,3.0,3,3,21,2,3,5,0,0,2
36,6499.0,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85.0,2,Male,95,2,2,Manufacturing Director,2,Single,22656.0,1,No,13.0,3.0,3,0,6,3,3,6,5,0,3
45,9724.0,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86.0,2,Male,59,3,3,Research Scientist,1,Divorced,18787.0,2,No,17.0,3.0,3,1,25,2,3,1,0,0,0
35,2194.0,No,Travel_Frequently,664,Research & Development,1,3,Medical,88.0,2,Male,79,3,1,Research Scientist,1,Married,5868.0,4,No,13.0,3.0,4,1,5,2,2,3,2,1,2
36,3388.0,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90.0,4,Male,79,2,1,Research Scientist,3,Married,21777.0,0,Yes,17.0,3.0,1,1,2,0,2,1,0,0,0
59,5473.0,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91.0,1,Female,57,2,2,Sales Executive,3,Single,24668.0,7,No,11.0,3.0,4,0,20,2,2,4,3,1,3
29,2703.0,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94.0,3,Male,76,3,1,Research Scientist,2,Married,4956.0,0,No,23.0,4.0,4,1,6,3,3,5,4,0,4
31,2501.0,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95.0,3,Male,87,3,1,Research Scientist,2,Single,18775.0,1,No,17.0,3.0,2,0,1,4,3,1,1,1,0
32,6220.0,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96.0,2,Male,66,3,2,Research Scientist,2,Married,7346.0,1,No,17.0,3.0,2,2,10,3,3,10,4,0,9
36,3038.0,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97.0,2,Female,55,4,1,Laboratory Technician,4,Married,22002.0,3,No,12.0,3.0,2,0,5,3,3,1,0,0,0
31,4424.0,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98.0,3,Female,61,3,2,Manufacturing Director,4,Single,20682.0,1,No,23.0,4.0,4,0,11,2,3,11,7,1,8
35,4312.0,No,Travel_Rarely,776,Sales,1,4,Marketing,100.0,3,Male,32,2,2,Sales Executive,1,Single,23016.0,0,No,14.0,3.0,2,0,16,2,3,15,13,2,8
45,13245.0,No,Travel_Rarely,193,Research & Development,6,4,Other,101.0,4,Male,52,3,3,Research Director,1,Married,15067.0,4,Yes,14.0,3.0,2,0,17,3,4,0,0,0,0
37,13664.0,No,Travel_Rarely,397,Research & Development,7,4,Medical,102.0,1,Male,30,3,3,Research Director,3,Single,25258.0,4,No,13.0,3.0,1,0,16,3,4,5,2,0,2
46,5021.0,No,Travel_Rarely,945,Human Resources,5,2,Medical,103.0,2,Male,80,3,2,Human Resources,2,Divorced,10425.0,8,Yes,22.0,4.0,4,1,16,2,3,4,2,0,2
30,5126.0,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104.0,4,Male,55,2,2,Laboratory Technician,4,Married,15998.0,1,Yes,12.0,3.0,3,2,10,1,2,10,8,3,0
35,2859.0,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105.0,2,Male,30,2,1,Research Scientist,3,Single,26278.0,1,No,18.0,3.0,1,0,6,3,3,6,4,0,4
55,10239.0,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106.0,1,Male,70,3,3,Sales Executive,4,Married,18092.0,3,No,14.0,3.0,4,1,24,4,3,1,0,1,0
38,5329.0,No,Non-Travel,573,Research & Development,6,3,Medical,107.0,2,Female,79,1,2,Research Scientist,4,Divorced,15717.0,7,Yes,12.0,3.0,4,3,17,3,3,13,11,1,9
34,4325.0,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110.0,1,Male,94,3,2,Manufacturing Director,2,Married,17736.0,1,No,15.0,3.0,3,0,5,2,3,5,2,1,3
56,7260.0,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112.0,4,Male,49,1,3,Manufacturing Director,4,Single,21698.0,4,No,11.0,3.0,1,0,37,3,2,6,4,0,2
23,2322.0,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113.0,3,Male,62,3,1,Sales Representative,1,Divorced,9518.0,3,No,13.0,3.0,3,1,3,3,3,0,0,0,0
51,2075.0,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116.0,4,Male,96,3,1,Laboratory Technician,4,Married,18725.0,3,No,23.0,4.0,2,2,10,4,3,4,2,0,3
30,4152.0,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117.0,3,Male,99,2,2,Healthcare Representative,4,Married,15830.0,1,No,19.0,3.0,1,3,11,3,3,11,10,10,8
46,9619.0,Yes,Travel_Rarely,669,Sales,9,2,Medical,118.0,3,Male,64,2,3,Sales Executive,4,Single,13596.0,1,No,16.0,3.0,4,0,9,3,3,9,8,4,7
40,13503.0,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119.0,3,Male,78,2,4,Healthcare Representative,2,Married,14115.0,1,No,22.0,4.0,4,1,22,3,2,22,3,11,11
51,5441.0,No,Travel_Rarely,632,Sales,21,4,Marketing,120.0,3,Male,71,3,2,Sales Executive,4,Single,8423.0,0,Yes,22.0,4.0,4,0,11,2,1,10,7,1,0
30,5209.0,No,Travel_Rarely,1334,Sales,4,2,Medical,121.0,3,Female,63,2,2,Sales Executive,2,Divorced,19760.0,1,Yes,12.0,3.0,2,3,11,4,2,11,8,2,7
46,10673.0,No,Travel_Frequently,638,Research & Development,1,3,Medical,124.0,3,Male,40,2,3,Healthcare Representative,1,Married,3142.0,2,Yes,13.0,3.0,3,1,21,5,2,10,9,9,5
32,5010.0,No,Travel_Rarely,1093,Sales,6,4,Medical,125.0,2,Male,87,3,2,Sales Executive,3,Single,24301.0,1,No,16.0,3.0,1,0,12,0,3,11,8,5,7
54,13549.0,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126.0,1,Female,60,3,3,Research Director,3,Married,24001.0,9,No,12.0,3.0,1,1,16,5,1,4,3,0,3
24,4999.0,No,Travel_Rarely,1353,Sales,3,2,Other,128.0,1,Female,33,3,2,Sales Executive,3,Married,17519.0,0,No,21.0,4.0,1,1,4,2,2,3,2,0,2
28,4221.0,No,Non-Travel,120,Sales,4,3,Medical,129.0,2,Male,43,3,2,Sales Executive,3,Married,8863.0,1,No,15.0,3.0,2,0,5,3,4,5,4,0,4
58,13872.0,No,Travel_Rarely,682,Sales,10,4,Medical,131.0,4,Male,37,3,4,Sales Executive,3,Single,24409.0,0,No,13.0,3.0,3,0,38,1,2,37,10,1,8
44,2042.0,No,Non-Travel,489,Research & Development,23,3,Medical,132.0,2,Male,67,3,2,Laboratory Technician,2,Married,25043.0,4,No,12.0,3.0,3,1,17,3,4,3,2,1,2
37,2073.0,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,133.0,3,Male,63,3,1,Human Resources,1,Divorced,23648.0,4,Yes,22.0,4.0,4,0,7,3,3,3,2,0,2
32,2956.0,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134.0,4,Male,71,3,1,Research Scientist,1,Single,15178.0,1,No,13.0,3.0,4,0,1,2,3,1,0,0,0
20,2926.0,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137.0,4,Female,66,2,1,Laboratory Technician,4,Single,19783.0,1,Yes,18.0,3.0,2,0,1,5,3,1,0,1,0
34,4809.0,No,Travel_Rarely,665,Research & Development,6,4,Other,138.0,1,Female,41,3,2,Research Scientist,3,Single,,1,No,14.0,3.0,3,0,16,3,3,16,13,2,10
37,5163.0,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,139.0,3,Male,100,2,2,Healthcare Representative,4,Divorced,15850.0,5,No,14.0,3.0,4,1,17,2,4,1,0,0,0
59,18844.0,No,Non-Travel,1420,Human Resources,2,4,Human Resources,140.0,3,Female,32,2,5,Manager,4,Married,21922.0,9,No,21.0,4.0,4,1,30,3,3,3,2,2,2
50,18172.0,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,141.0,1,Female,73,3,5,Research Director,2,Married,9755.0,3,Yes,19.0,3.0,1,0,28,1,2,8,3,0,7
25,5744.0,Yes,Travel_Rarely,240,Sales,5,3,Marketing,142.0,3,Male,46,2,2,Sales Executive,3,Single,26959.0,1,Yes,11.0,3.0,4,0,6,1,3,6,4,0,3
25,2889.0,No,Travel_Rarely,1280,Research & Development,7,1,Medical,143.0,4,Male,64,2,1,Research Scientist,4,Married,26897.0,1,No,11.0,3.0,3,2,2,2,3,2,2,2,1
22,2871.0,No,Travel_Rarely,534,Research & Development,15,3,Medical,144.0,2,Female,59,3,1,Laboratory Technician,4,Single,23785.0,1,No,15.0,3.0,3,0,1,5,3,0,0,0,0
51,7484.0,No,Travel_Frequently,1456,Research & Development,1,4,Medical,145.0,1,Female,30,2,3,Healthcare Representative,1,Single,25796.0,3,No,20.0,4.0,3,0,23,1,2,13,12,12,8
34,6074.0,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,147.0,1,Male,66,1,2,Laboratory Technician,3,Single,22887.0,1,Yes,24.0,4.0,4,0,9,3,3,9,7,0,6
54,17328.0,No,Non-Travel,142,Human Resources,26,3,Human Resources,148.0,4,Female,30,4,4,Manager,4,Single,13871.0,2,Yes,12.0,3.0,3,0,23,3,3,5,3,4,4
24,2774.0,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,150.0,2,Male,52,3,1,Laboratory Technician,3,Married,13257.0,0,No,12.0,3.0,3,1,6,2,3,5,3,1,2
34,4505.0,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,151.0,3,Female,45,2,2,Research Scientist,2,Divorced,15000.0,6,No,15.0,3.0,3,1,12,3,3,1,0,0,0
37,7428.0,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,152.0,3,Male,87,3,3,Sales Executive,4,Single,14506.0,2,No,12.0,3.0,1,0,12,3,3,5,3,1,3
34,11631.0,No,Travel_Rarely,1354,Research & Development,5,3,Medical,153.0,3,Female,45,2,3,Manager,1,Single,5615.0,2,No,12.0,3.0,4,0,14,6,3,11,10,5,8
36,9738.0,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,154.0,2,Female,92,3,3,Sales Executive,4,Married,22952.0,0,No,14.0,3.0,3,1,10,6,3,9,7,2,8
36,2835.0,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,155.0,1,Female,39,3,1,Laboratory Technician,4,Divorced,2561.0,5,No,22.0,4.0,1,1,7,2,3,1,0,0,0
43,16959.0,No,Travel_Frequently,394,Sales,26,2,Life Sciences,158.0,3,Male,92,3,4,Manager,4,Married,19494.0,1,Yes,12.0,3.0,4,2,25,3,4,25,12,4,12
30,2613.0,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,159.0,1,Male,96,1,1,Research Scientist,3,Divorced,22310.0,1,No,25.0,4.0,3,3,10,2,2,10,7,0,9
33,6146.0,No,Non-Travel,750,Sales,22,2,Marketing,160.0,3,Male,95,3,2,Sales Executive,2,Married,15480.0,0,No,13.0,3.0,1,1,8,2,4,7,7,0,7
56,4963.0,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,161.0,2,Female,72,3,1,Research Scientist,2,Married,4510.0,9,Yes,18.0,3.0,1,3,7,2,3,5,4,4,3
51,19537.0,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,162.0,1,Male,51,3,5,Research Director,3,Single,6462.0,7,No,13.0,3.0,3,0,23,5,3,20,18,15,15
31,6172.0,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,163.0,2,Male,76,1,2,Sales Executive,3,Married,20739.0,4,Yes,18.0,3.0,2,0,12,3,2,7,7,7,7
26,2368.0,No,Travel_Rarely,841,Research & Development,6,3,Other,164.0,3,Female,46,2,1,Research Scientist,2,Married,23300.0,1,No,19.0,3.0,3,0,5,3,2,5,4,4,3
58,10312.0,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,165.0,4,Female,94,3,3,Healthcare Representative,4,Married,3465.0,1,No,12.0,3.0,4,1,40,3,2,40,10,15,6
19,1675.0,Yes,Travel_Rarely,528,Sales,22,1,Marketing,167.0,4,Male,50,3,1,Sales Representative,3,Single,26820.0,1,Yes,19.0,3.0,4,0,0,2,2,0,0,0,0
22,2523.0,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,169.0,3,Male,100,3,1,Laboratory Technician,4,Married,19299.0,0,No,14.0,3.0,3,1,3,2,3,2,1,2,1
49,6567.0,No,Travel_Rarely,470,Research & Development,20,4,Medical,170.0,3,Female,96,3,2,Manufacturing Director,1,Married,5549.0,1,No,14.0,3.0,3,0,16,2,2,15,11,5,11
43,4739.0,No,Travel_Frequently,957,Research & Development,28,3,Medical,171.0,2,Female,72,4,1,Research Scientist,3,Single,16090.0,4,No,12.0,3.0,4,0,18,2,3,3,2,1,2
50,9208.0,No,Travel_Frequently,809,Sales,12,3,Marketing,174.0,3,Female,77,3,3,Sales Executive,4,Single,6645.0,4,No,11.0,3.0,4,0,16,3,3,2,2,2,1
31,4559.0,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,175.0,2,Female,71,1,2,Sales Executive,3,Married,24788.0,3,Yes,11.0,3.0,3,1,4,2,3,2,2,2,2
41,8189.0,No,Travel_Rarely,802,Sales,9,1,Life Sciences,176.0,3,Male,96,3,3,Sales Executive,3,Divorced,21196.0,3,Yes,13.0,3.0,3,1,12,2,3,9,7,0,7
26,2942.0,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,177.0,3,Female,61,3,1,Human Resources,3,Married,8916.0,1,No,23.0,4.0,4,1,8,3,3,8,7,5,7
36,4941.0,No,Travel_Rarely,216,Research & Development,6,2,Medical,178.0,2,Male,84,3,2,Manufacturing Director,2,Divorced,2819.0,6,No,20.0,4.0,4,2,7,0,3,3,2,0,1
