Fecha,Hora,Noroeste PM10,Noroeste monóxido de carbono,Noreste PM10,Noreste monóxido de carbono,Centro PM10,Centro monóxido de carbono,Suroeste PM10,Suroeste monóxido de carbono,Sureste PM10,Sureste monóxido de carbono
02/01/2016,16,81,9.0,76,7.0,70,8.0,70,6.0,60.0,6.0
02/01/2016,17,78,9.0,76,7.0,67,7.0,65,5.0,61.0,5.0
02/01/2016,18,76,8.0,73,7.0,65,7.0,61,5.0,61.0,5.0
02/01/2016,19,73,8.0,73,6.0,61,8.0,58,5.0,61.0,5.0
02/01/2016,20,68,8.0,67,7.0,64,8.0,54,5.0,61.0,5.0
02/01/2016,21,67,8.0,65,7.0,64,8.0,51,5.0,61.0,5.0
02/01/2016,22,67,8.0,65,8.0,61,8.0,49,5.0,61.0,5.0
02/01/2016,23,67,8.0,68,9.0,58,8.0,48,6.0,55.0,5.0
02/01/2016,24,68,8.0,68,10.0,60,9.0,45,6.0,54.0,6.0
03/01/2016,1,67,9.0,68,11.0,60,9.0,44,7.0,52.0,6.0
03/01/2016,2,67,9.0,71,12.0,60,10.0,43,7.0,52.0,7.0
03/01/2016,3,67,9.0,73,12.0,60,10.0,41,7.0,54.0,8.0
03/01/2016,4,68,9.0,76,12.0,61,9.0,39,7.0,54.0,8.0
03/01/2016,5,70,9.0,77,12.0,61,9.0,38,5.0,54.0,8.0
03/01/2016,6,71,8.0,78,12.0,63,9.0,36,5.0,54.0,8.0
03/01/2016,7,73,8.0,81,11.0,65,10.0,34,5.0,55.0,7.0
03/01/2016,8,74,9.0,84,12.0,67,10.0,31,5.0,55.0,8.0
03/01/2016,9,78,9.0,86,12.0,68,10.0,30,5.0,54.0,8.0
03/01/2016,10,80,9.0,88,13.0,68,10.0,30,6.0,57.0,9.0
03/01/2016,11,80,9.0,90,13.0,71,11.0,29,6.0,55.0,10.0
03/01/2016,12,80,9.0,91,13.0,73,11.0,29,6.0,57.0,10.0
03/01/2016,13,77,10.0,93,13.0,74,10.0,30,7.0,55.0,10.0
03/01/2016,14,73,10.0,93,13.0,74,10.0,31,7.0,54.0,9.0
03/01/2016,15,73,10.0,94,12.0,78,10.0,31,7.0,55.0,8.0
03/01/2016,16,73,9.0,94,11.0,77,9.0,33,7.0,55.0,7.0
03/01/2016,17,73,8.0,94,9.0,81,9.0,34,7.0,57.0,6.0
03/01/2016,18,71,8.0,96,8.0,80,8.0,35,7.0,58.0,5.0
03/01/2016,19,71,7.0,96,7.0,80,8.0,61,6.0,58.0,5.0
03/01/2016,20,68,7.0,96,7.0,81,7.0,61,6.0,60.0,5.0
03/01/2016,21,70,7.0,94,7.0,78,8.0,60,6.0,58.0,5.0
03/01/2016,22,70,7.0,94,7.0,78,8.0,60,6.0,58.0,6.0
03/01/2016,23,70,7.0,93,7.0,81,8.0,58,6.0,60.0,6.0
03/01/2016,24,68,7.0,93,8.0,80,8.0,58,6.0,61.0,7.0
04/01/2016,1,68,7.0,90,9.0,80,8.0,57,6.0,61.0,7.0
04/01/2016,2,67,7.0,88,10.0,80,7.0,58,6.0,63.0,7.0
04/01/2016,3,65,7.0,87,10.0,80,7.0,58,5.0,63.0,7.0
04/01/2016,4,64,7.0,87,10.0,80,7.0,58,5.0,63.0,7.0
04/01/2016,5,64,7.0,87,10.0,55,6.0,57,5.0,63.0,7.0
04/01/2016,6,64,7.0,86,10.0,57,6.0,57,5.0,63.0,8.0
04/01/2016,7,64,7.0,86,10.0,57,7.0,57,5.0,64.0,8.0
04/01/2016,8,65,7.0,87,11.0,58,7.0,57,5.0,65.0,10.0
04/01/2016,9,65,8.0,88,11.0,64,8.0,57,6.0,67.0,11.0
04/01/2016,10,70,9.0,88,12.0,68,10.0,57,7.0,67.0,12.0
04/01/2016,11,73,10.0,90,13.0,73,11.0,60,8.0,70.0,13.0
04/01/2016,12,78,11.0,93,14.0,76,12.0,64,9.0,73.0,14.0
04/01/2016,13,84,12.0,94,14.0,78,13.0,67,10.0,78.0,13.0
04/01/2016,14,91,13.0,96,14.0,81,13.0,67,10.0,81.0,12.0
04/01/2016,15,100,14.0,96,14.0,81,14.0,67,10.0,86.0,12.0
04/01/2016,16,102,14.0,99,13.0,84,13.0,64,11.0,88.0,10.0
04/01/2016,17,103,14.0,101,12.0,86,13.0,64,10.0,87.0,8.0
04/01/2016,18,104,14.0,101,11.0,87,13.0,65,10.0,88.0,8.0
04/01/2016,19,103,13.0,102,10.0,87,12.0,67,9.0,90.0,8.0
04/01/2016,20,103,13.0,101,9.0,86,12.0,67,8.0,91.0,8.0
04/01/2016,21,103,13.0,99,10.0,84,12.0,67,8.0,90.0,7.0
04/01/2016,22,103,13.0,97,10.0,84,12.0,67,9.0,88.0,8.0
04/01/2016,23,103,14.0,97,10.0,84,12.0,67,9.0,86.0,8.0
04/01/2016,24,103,15.0,97,11.0,84,12.0,68,8.0,84.0,8.0
05/01/2016,1,103,15.0,97,11.0,84,12.0,68,8.0,83.0,8.0
05/01/2016,2,103,15.0,99,12.0,84,12.0,67,7.0,81.0,8.0
05/01/2016,3,103,-99.0,101,-99.0,84,-99.0,67,-99.0,84.0,-99.0
05/01/2016,4,103,-99.0,102,-99.0,86,-99.0,65,-99.0,83.0,-99.0
05/01/2016,5,103,-99.0,102,-99.0,87,-99.0,65,-99.0,83.0,-99.0
05/01/2016,6,103,-99.0,102,-99.0,88,-99.0,64,-99.0,80.0,-99.0
05/01/2016,7,102,-99.0,102,-99.0,87,-99.0,64,-99.0,77.0,-99.0
05/01/2016,8,102,-99.0,103,-99.0,84,-99.0,63,-99.0,74.0,-99.0
05/01/2016,9,101,15.0,103,25.0,80,24.0,61,5.0,71.0,15.0
05/01/2016,10,100,15.0,103,26.0,77,23.0,60,6.0,70.0,15.0
05/01/2016,11,99,16.0,104,25.0,74,23.0,55,7.0,63.0,14.0
05/01/2016,12,96,15.0,103,25.0,70,22.0,49,8.0,51.0,14.0
05/01/2016,13,93,15.0,102,24.0,65,21.0,45,8.0,43.0,14.0
05/01/2016,14,88,14.0,102,22.0,61,20.0,43,9.0,39.0,13.0
05/01/2016,15,84,13.0,102,19.0,61,18.0,41,9.0,36.0,12.0
05/01/2016,16,80,11.0,101,15.0,58,15.0,41,8.0,39.0,9.0
05/01/2016,17,77,9.0,97,12.0,54,12.0,39,7.0,39.0,8.0
05/01/2016,18,76,6.0,94,8.0,52,10.0,35,6.0,60.0,7.0
05/01/2016,19,74,5.0,93,7.0,74,9.0,31,5.0,58.0,6.0
05/01/2016,20,74,5.0,94,7.0,73,9.0,30,5.0,55.0,5.0
05/01/2016,21,73,5.0,96,7.0,71,9.0,30,4.0,54.0,5.0
05/01/2016,22,73,5.0,96,8.0,70,10.0,29,4.0,52.0,5.0
05/01/2016,23,71,6.0,97,9.0,70,11.0,26,5.0,51.0,5.0
05/01/2016,24,70,6.0,99,10.0,70,12.0,25,5.0,51.0,6.0
06/01/2016,1,67,8.0,99,12.0,70,12.0,24,5.0,51.0,7.0
06/01/2016,2,68,10.0,97,14.0,68,13.0,24,5.0,51.0,7.0
06/01/2016,3,71,12.0,96,15.0,65,13.0,24,4.0,51.0,8.0
06/01/2016,4,61,12.0,94,15.0,65,13.0,25,4.0,51.0,8.0
06/01/2016,5,58,13.0,91,15.0,65,14.0,25,4.0,49.0,8.0
06/01/2016,6,57,14.0,91,16.0,65,14.0,25,3.0,46.0,8.0
06/01/2016,7,57,15.0,91,19.0,63,13.0,25,3.0,46.0,8.0
06/01/2016,8,58,18.0,88,24.0,58,14.0,25,4.0,46.0,8.0
06/01/2016,9,60,17.0,83,25.0,57,15.0,24,5.0,46.0,8.0
06/01/2016,10,64,16.0,83,24.0,54,15.0,24,5.0,46.0,8.0
06/01/2016,11,61,15.0,77,24.0,51,13.0,24,5.0,45.0,8.0
06/01/2016,12,65,15.0,73,22.0,48,12.0,24,5.0,43.0,9.0
06/01/2016,13,64,14.0,71,20.0,45,11.0,24,5.0,40.0,10.0
06/01/2016,14,65,13.0,71,20.0,44,10.0,24,5.0,40.0,5.0
06/01/2016,15,65,10.0,71,10.0,44,9.0,23,5.0,39.0,5.0
06/01/2016,16,67,7.0,74,7.0,44,7.0,24,4.0,38.0,4.0
06/01/2016,17,70,5.0,76,5.0,45,5.0,24,3.0,39.0,3.0
06/01/2016,18,71,4.0,77,4.0,48,5.0,24,3.0,41.0,3.0
06/01/2016,19,71,4.0,80,4.0,50,5.0,24,3.0,43.0,3.0
06/01/2016,20,73,4.0,78,5.0,50,5.0,24,3.0,41.0,6.0
06/01/2016,21,71,4.0,77,5.0,50,5.0,24,3.0,43.0,6.0
06/01/2016,22,71,5.0,74,5.0,49,5.0,24,3.0,45.0,6.0
06/01/2016,23,74,6.0,73,7.0,48,6.0,21,4.0,45.0,7.0
06/01/2016,24,78,7.0,67,8.0,46,7.0,20,4.0,48.0,8.0
07/01/2016,1,78,7.0,64,9.0,44,7.0,21,4.0,51.0,9.0
07/01/2016,2,78,7.0,65,9.0,43,7.0,21,4.0,52.0,9.0
07/01/2016,3,80,8.0,63,10.0,43,7.0,21,4.0,55.0,9.0
07/01/2016,4,80,8.0,64,10.0,40,7.0,20,3.0,57.0,8.0
07/01/2016,5,81,8.0,64,10.0,39,7.0,20,3.0,58.0,8.0
07/01/2016,6,83,8.0,61,10.0,38,7.0,20,3.0,55.0,7.0
07/01/2016,7,87,8.0,58,10.0,38,8.0,20,3.0,57.0,6.0
07/01/2016,8,90,8.0,54,11.0,39,11.0,19,3.0,57.0,5.0
07/01/2016,9,93,7.0,57,12.0,40,13.0,19,5.0,54.0,5.0
07/01/2016,10,88,6.0,52,11.0,39,13.0,20,5.0,48.0,5.0
07/01/2016,11,87,5.0,51,11.0,38,13.0,19,5.0,46.0,5.0
07/01/2016,12,84,5.0,51,10.0,38,13.0,20,5.0,45.0,5.0
07/01/2016,13,86,5.0,51,10.0,39,13.0,19,5.0,45.0,5.0
07/01/2016,14,87,5.0,51,10.0,40,13.0,20,5.0,46.0,5.0
07/01/2016,15,87,5.0,52,9.0,39,10.0,20,5.0,46.0,5.0
07/01/2016,16,87,4.0,52,7.0,40,7.0,20,5.0,46.0,4.0
07/01/2016,17,86,4.0,52,6.0,40,5.0,20,5.0,46.0,4.0
07/01/2016,18,84,4.0,52,6.0,38,5.0,20,5.0,46.0,4.0
07/01/2016,19,84,4.0,52,6.0,36,5.0,20,4.0,46.0,4.0
07/01/2016,20,84,5.0,52,6.0,38,5.0,20,4.0,48.0,5.0
07/01/2016,21,84,5.0,52,6.0,36,6.0,20,4.0,48.0,5.0
07/01/2016,22,86,5.0,51,6.0,38,6.0,21,4.0,45.0,5.0
07/01/2016,23,84,5.0,51,7.0,38,6.0,23,4.0,45.0,5.0
07/01/2016,24,80,6.0,51,7.0,38,8.0,23,5.0,44.0,5.0
08/01/2016,1,78,7.0,52,8.0,41,9.0,21,5.0,43.0,6.0
08/01/2016,2,76,7.0,51,8.0,43,9.0,21,5.0,43.0,6.0
08/01/2016,3,74,7.0,54,8.0,44,9.0,21,5.0,41.0,6.0
08/01/2016,4,76,8.0,51,9.0,44,9.0,21,5.0,41.0,6.0
08/01/2016,5,76,8.0,51,9.0,45,9.0,21,5.0,41.0,5.0
08/01/2016,6,74,8.0,51,10.0,45,10.0,21,5.0,41.0,5.0
08/01/2016,7,76,8.0,54,11.0,45,10.0,21,5.0,41.0,6.0
08/01/2016,8,74,8.0,54,12.0,45,11.0,21,5.0,41.0,8.0
08/01/2016,9,74,7.0,52,12.0,44,12.0,21,6.0,41.0,9.0
08/01/2016,10,87,7.0,54,11.0,44,12.0,21,7.0,41.0,9.0
08/01/2016,11,90,6.0,55,11.0,45,12.0,21,7.0,41.0,9.0
08/01/2016,12,90,6.0,54,10.0,45,12.0,21,7.0,43.0,9.0
08/01/2016,13,88,5.0,55,10.0,45,12.0,21,7.0,43.0,9.0
08/01/2016,14,88,5.0,55,9.0,45,11.0,21,7.0,43.0,9.0
08/01/2016,15,87,5.0,57,8.0,48,10.0,23,7.0,44.0,7.0
08/01/2016,16,87,5.0,58,6.0,48,7.0,23,6.0,48.0,5.0
08/01/2016,17,88,4.0,60,5.0,51,6.0,24,5.0,52.0,4.0
08/01/2016,18,90,4.0,64,5.0,52,5.0,23,5.0,57.0,4.0
08/01/2016,19,90,5.0,64,5.0,51,6.0,23,5.0,58.0,4.0
08/01/2016,20,90,5.0,64,5.0,50,6.0,23,4.0,58.0,4.0
08/01/2016,21,90,5.0,64,6.0,50,6.0,24,4.0,58.0,5.0
08/01/2016,22,90,5.0,64,7.0,50,6.0,24,4.0,58.0,5.0
08/01/2016,23,91,6.0,65,8.0,50,7.0,24,4.0,58.0,5.0
08/01/2016,24,93,7.0,65,8.0,49,7.0,24,5.0,57.0,5.0
09/01/2016,1,93,7.0,67,9.0,46,8.0,24,5.0,57.0,6.0
09/01/2016,2,94,7.0,65,10.0,45,9.0,24,5.0,57.0,6.0
09/01/2016,3,96,8.0,70,10.0,46,9.0,24,6.0,57.0,6.0
09/01/2016,4,96,9.0,71,10.0,48,9.0,24,6.0,57.0,6.0
09/01/2016,5,94,8.0,74,10.0,46,9.0,24,7.0,55.0,6.0
09/01/2016,6,96,8.0,76,10.0,46,10.0,24,6.0,55.0,6.0
09/01/2016,7,94,10.0,78,10.0,48,11.0,24,6.0,55.0,6.0
09/01/2016,8,91,12.0,78,12.0,48,13.0,25,6.0,57.0,6.0
09/01/2016,9,93,14.0,77,14.0,50,14.0,25,6.0,58.0,7.0
09/01/2016,10,87,14.0,77,15.0,52,14.0,25,6.0,60.0,8.0
09/01/2016,11,87,15.0,81,16.0,54,15.0,25,6.0,60.0,9.0
09/01/2016,12,90,15.0,86,16.0,57,15.0,25,6.0,58.0,9.0
09/01/2016,13,93,16.0,90,16.0,60,15.0,25,6.0,58.0,9.0
09/01/2016,14,91,15.0,91,15.0,60,14.0,25,6.0,61.0,8.0
09/01/2016,15,93,14.0,93,14.0,58,12.0,24,6.0,68.0,8.0
09/01/2016,16,93,11.0,94,11.0,55,10.0,24,6.0,70.0,6.0
09/01/2016,17,94,9.0,100,8.0,55,8.0,24,5.0,67.0,5.0
09/01/2016,18,93,8.0,105,7.0,57,7.0,24,5.0,65.0,4.0
09/01/2016,19,93,6.0,106,7.0,57,6.0,24,4.0,64.0,3.0
09/01/2016,20,93,5.0,105,6.0,57,5.0,24,4.0,64.0,3.0
09/01/2016,21,91,5.0,105,6.0,57,5.0,24,4.0,63.0,3.0
09/01/2016,22,90,4.0,103,6.0,57,5.0,24,4.0,61.0,3.0
09/01/2016,23,86,4.0,103,6.0,57,5.0,23,4.0,61.0,4.0
09/01/2016,24,84,4.0,102,7.0,57,6.0,24,4.0,60.0,4.0
10/01/2016,1,86,4.0,102,7.0,57,6.0,24,4.0,58.0,5.0
10/01/2016,2,88,5.0,101,6.0,55,7.0,24,5.0,58.0,5.0
10/01/2016,3,88,5.0,100,6.0,54,7.0,24,5.0,58.0,5.0
10/01/2016,4,88,5.0,101,6.0,52,7.0,24,5.0,58.0,5.0
10/01/2016,5,88,5.0,101,7.0,54,7.0,24,5.0,58.0,5.0
10/01/2016,6,87,5.0,100,7.0,54,8.0,24,5.0,58.0,5.0
10/01/2016,7,84,5.0,99,8.0,52,9.0,24,5.0,58.0,5.0
10/01/2016,8,81,5.0,100,9.0,51,9.0,23,5.0,58.0,5.0
10/01/2016,9,73,6.0,100,10.0,49,10.0,24,5.0,55.0,5.0
10/01/2016,10,68,7.0,100,10.0,46,11.0,23,5.0,54.0,7.0
10/01/2016,11,67,8.0,100,11.0,45,11.0,23,5.0,54.0,8.0
10/01/2016,12,65,9.0,101,11.0,43,11.0,21,5.0,54.0,8.0
10/01/2016,13,64,9.0,101,11.0,40,11.0,21,6.0,52.0,8.0
10/01/2016,14,64,9.0,100,10.0,40,10.0,20,6.0,49.0,8.0
10/01/2016,15,64,9.0,99,9.0,39,10.0,21,6.0,40.0,8.0
10/01/2016,16,63,8.0,100,9.0,39,8.0,20,6.0,35.0,7.0
10/01/2016,17,63,7.0,97,8.0,36,7.0,20,6.0,33.0,6.0
10/01/2016,18,61,5.0,81,7.0,35,7.0,20,5.0,31.0,5.0
10/01/2016,19,61,5.0,73,6.0,34,6.0,20,5.0,31.0,4.0
10/01/2016,20,60,5.0,74,6.0,33,6.0,20,5.0,33.0,4.0
10/01/2016,21,60,5.0,73,6.0,33,6.0,19,5.0,33.0,4.0
10/01/2016,22,60,5.0,74,6.0,33,7.0,19,4.0,33.0,4.0
10/01/2016,23,60,5.0,76,7.0,33,8.0,19,4.0,33.0,4.0
10/01/2016,24,60,5.0,76,7.0,34,9.0,18,5.0,31.0,4.0
11/01/2016,1,57,5.0,76,7.0,35,9.0,16,5.0,31.0,4.0
11/01/2016,2,55,5.0,76,8.0,35,10.0,16,5.0,31.0,4.0
11/01/2016,3,54,-99.0,71,-99.0,34,-99.0,16,-99.0,30.0,-99.0
11/01/2016,4,52,-99.0,67,-99.0,34,-99.0,16,-99.0,29.0,-99.0
11/01/2016,5,50,-99.0,64,-99.0,33,-99.0,15,-99.0,30.0,-99.0
11/01/2016,6,49,-99.0,61,-99.0,33,-99.0,15,-99.0,29.0,-99.0
11/01/2016,7,50,-99.0,60,-99.0,34,-99.0,15,-99.0,28.0,-99.0
11/01/2016,8,52,-99.0,60,-99.0,35,-99.0,15,-99.0,28.0,-99.0
11/01/2016,9,55,14.0,61,23.0,36,25.0,15,7.0,29.0,15.0
11/01/2016,10,60,15.0,64,21.0,39,25.0,15,7.0,31.0,15.0
11/01/2016,11,58,14.0,64,20.0,39,23.0,15,7.0,31.0,14.0
11/01/2016,12,57,15.0,58,20.0,40,22.0,15,7.0,30.0,14.0
11/01/2016,13,60,15.0,54,20.0,40,21.0,16,8.0,35.0,13.0
11/01/2016,14,60,14.0,54,18.0,41,20.0,16,8.0,41.0,12.0
11/01/2016,15,60,13.0,52,16.0,41,17.0,18,7.0,51.0,11.0
11/01/2016,16,61,10.0,57,12.0,44,12.0,18,6.0,61.0,7.0
11/01/2016,17,64,7.0,63,7.0,48,8.0,18,5.0,64.0,5.0
11/01/2016,18,67,5.0,70,6.0,49,5.0,18,5.0,67.0,4.0
11/01/2016,19,68,5.0,71,6.0,49,5.0,18,5.0,67.0,4.0
11/01/2016,20,70,4.0,71,6.0,49,5.0,18,5.0,65.0,5.0
11/01/2016,21,71,4.0,73,7.0,49,5.0,18,4.0,65.0,5.0
11/01/2016,22,73,5.0,73,8.0,49,6.0,19,4.0,65.0,5.0
11/01/2016,23,76,5.0,73,9.0,49,8.0,19,4.0,67.0,5.0
11/01/2016,24,77,5.0,74,10.0,49,10.0,20,5.0,68.0,5.0
12/01/2016,1,80,5.0,78,11.0,48,11.0,20,5.0,68.0,5.0
12/01/2016,2,80,5.0,81,12.0,49,13.0,20,5.0,70.0,5.0
12/01/2016,3,80,5.0,83,13.0,50,14.0,21,5.0,71.0,5.0
12/01/2016,4,78,6.0,86,13.0,51,15.0,21,5.0,71.0,5.0
12/01/2016,5,78,7.0,90,14.0,55,15.0,21,5.0,73.0,6.0
12/01/2016,6,78,7.0,97,16.0,57,15.0,21,4.0,74.0,6.0
12/01/2016,7,77,8.0,101,19.0,58,15.0,21,4.0,77.0,9.0
12/01/2016,8,76,11.0,103,23.0,61,17.0,21,5.0,80.0,12.0
12/01/2016,9,78,13.0,105,25.0,64,19.0,23,5.0,86.0,14.0
12/01/2016,10,80,15.0,105,28.0,65,21.0,24,7.0,90.0,15.0
12/01/2016,11,84,17.0,107,29.0,67,22.0,25,9.0,91.0,16.0
12/01/2016,12,86,18.0,108,29.0,71,22.0,25,10.0,88.0,17.0
12/01/2016,13,87,19.0,108,28.0,73,22.0,25,11.0,83.0,17.0
12/01/2016,14,88,20.0,107,25.0,74,22.0,26,11.0,76.0,16.0
12/01/2016,15,93,20.0,107,23.0,74,21.0,28,11.0,64.0,15.0
12/01/2016,16,94,18.0,107,18.0,74,17.0,30,11.0,55.0,13.0
12/01/2016,17,94,16.0,106,15.0,70,15.0,31,11.0,51.0,11.0
12/01/2016,18,97,15.0,104,12.0,70,15.0,33,10.0,52.0,8.0
12/01/2016,19,101,15.0,104,11.0,71,13.0,34,9.0,52.0,7.0
12/01/2016,20,102,14.0,104,11.0,76,12.0,35,10.0,54.0,6.0
12/01/2016,21,104,13.0,105,11.0,78,12.0,35,11.0,55.0,5.0
12/01/2016,22,106,12.0,106,11.0,80,12.0,36,11.0,57.0,5.0
12/01/2016,23,107,12.0,108,10.0,80,12.0,35,12.0,58.0,5.0
12/01/2016,24,107,12.0,108,10.0,81,11.0,35,13.0,60.0,5.0
13/01/2016,1,107,11.0,109,10.0,81,11.0,36,13.0,60.0,5.0
13/01/2016,2,107,10.0,108,9.0,83,10.0,36,14.0,60.0,5.0
13/01/2016,3,108,8.0,109,9.0,83,9.0,46,14.0,60.0,5.0
13/01/2016,4,108,8.0,110,8.0,84,9.0,46,13.0,61.0,5.0
13/01/2016,5,109,8.0,110,8.0,84,9.0,45,12.0,61.0,5.0
13/01/2016,6,110,7.0,110,8.0,86,8.0,45,10.0,61.0,5.0
13/01/2016,7,110,6.0,110,8.0,86,7.0,44,9.0,61.0,5.0
13/01/2016,8,110,5.0,108,8.0,70,7.0,43,7.0,60.0,5.0
13/01/2016,9,109,5.0,106,9.0,65,8.0,40,7.0,54.0,5.0
13/01/2016,10,107,6.0,105,9.0,63,8.0,40,6.0,52.0,5.0
13/01/2016,11,106,6.0,103,10.0,58,8.0,38,5.0,49.0,5.0
13/01/2016,12,105,6.0,102,10.0,54,8.0,36,5.0,48.0,5.0
13/01/2016,13,104,7.0,100,11.0,52,8.0,35,5.0,48.0,7.0
13/01/2016,14,103,7.0,96,7.0,50,8.0,33,5.0,45.0,7.0
13/01/2016,15,103,8.0,94,8.0,48,9.0,30,5.0,44.0,8.0
13/01/2016,16,103,8.0,93,7.0,45,9.0,28,5.0,43.0,8.0
13/01/2016,17,101,8.0,88,6.0,43,8.0,26,5.0,39.0,8.0
13/01/2016,18,97,8.0,84,6.0,40,8.0,24,5.0,36.0,7.0
13/01/2016,19,91,9.0,78,6.0,38,8.0,23,5.0,34.0,8.0
13/01/2016,20,83,10.0,73,11.0,35,9.0,21,6.0,33.0,7.0
13/01/2016,21,76,12.0,68,11.0,34,11.0,20,7.0,31.0,6.0
13/01/2016,22,64,14.0,64,11.0,33,11.0,20,9.0,30.0,6.0
13/01/2016,23,60,15.0,58,12.0,33,12.0,20,10.0,30.0,6.0
13/01/2016,24,58,15.0,55,12.0,31,12.0,20,11.0,29.0,6.0
14/01/2016,1,55,15.0,55,12.0,31,13.0,19,11.0,28.0,7.0
14/01/2016,2,52,15.0,54,11.0,30,13.0,19,12.0,28.0,7.0
14/01/2016,3,51,15.0,51,11.0,30,13.0,18,12.0,26.0,6.0
14/01/2016,4,50,15.0,49,9.0,28,14.0,18,12.0,25.0,5.0
14/01/2016,5,48,14.0,48,9.0,25,13.0,16,12.0,24.0,5.0
14/01/2016,6,46,14.0,46,8.0,24,13.0,15,11.0,21.0,4.0
14/01/2016,7,45,13.0,46,8.0,23,13.0,14,10.0,20.0,4.0
14/01/2016,8,45,14.0,49,8.0,24,14.0,14,11.0,20.0,4.0
14/01/2016,9,46,15.0,50,9.0,25,14.0,14,11.0,20.0,4.0
14/01/2016,10,49,14.0,50,9.0,25,14.0,14,11.0,19.0,3.0
14/01/2016,11,50,14.0,50,9.0,26,13.0,14,10.0,19.0,4.0
14/01/2016,12,50,13.0,50,10.0,26,13.0,14,9.0,18.0,4.0
14/01/2016,13,50,12.0,48,10.0,26,12.0,14,8.0,16.0,4.0
14/01/2016,14,50,11.0,46,10.0,26,11.0,14,7.0,15.0,4.0
14/01/2016,15,49,9.0,46,9.0,26,10.0,15,6.0,15.0,4.0
14/01/2016,16,49,7.0,48,8.0,26,8.0,15,5.0,15.0,4.0
14/01/2016,17,49,5.0,49,7.0,25,6.0,15,5.0,16.0,4.0
14/01/2016,18,49,4.0,48,7.0,24,6.0,15,5.0,16.0,4.0
14/01/2016,19,48,4.0,49,6.0,24,6.0,15,4.0,16.0,4.0
14/01/2016,20,46,4.0,48,6.0,24,6.0,14,4.0,15.0,4.0
14/01/2016,21,44,5.0,46,6.0,23,7.0,14,5.0,15.0,4.0
14/01/2016,22,43,5.0,45,6.0,23,8.0,14,5.0,14.0,5.0
